,Территория,Год,НС,НС%,Больные ЗППП_ingroup,Обследованные беременные_ingroup,"Обследованные лица, находящиеся в местах лишения свободы_ingroup",Обследованные по клиническим показаниям_ingroup,Обследованные при эпидемиологическом расследовании_ingroup,Потребители инъекционных наркотиков_ingroup,Прочие контингенты_ingroup,Больные ЗППП_bwgroup,Обследованные беременные_bwgroup,"Обследованные лица, находящиеся в местах лишения свободы_bwgroup",Обследованные по клиническим показаниям_bwgroup,Обследованные при эпидемиологическом расследовании_bwgroup,Потребители инъекционных наркотиков_bwgroup,Прочие контингенты_bwgroup,М,Ж,Количество уголовных дел в сфере оборота наркотиков,ст. 6.8 КоАП России,ст. 6.9 КоАП России,Доля городского населения в общей численности населения на 1 января,Принято студентов в ВУЗы,Число новых случаев наркомании на 100 тыс.,Безработица по МОТ,Валовой региональный продукт на душу населения,Введено общей площади жилых домов,0-15 лет,15-19 лет,>= 70 лет,20-29 лет,30-39 лет,40-49 лет,50-59 лет,60-69 лет,Доля населения с доходами ниже МРОТ
1,Белгородская область,1999-01-01,55,3.66,,,,,,,,,,,,,,,691738,809961,,,,64.95,,,,21398.0,,,,,,,,,,24.2
2,Брянская область,1999-01-01,29,2.04,,,,,,,,,,,,,,,654051,769127,,,,68.29,,,,11752.4,,,,,,,,,,39.6
3,Владимирская область,1999-01-01,79,5.01,,,,,,,,,,,,,,,718718,856789,,,,79.77,,,,15457.1,,,,,,,,,,37.5
4,Воронежская область,1999-01-01,22,0.9,,,,,,,,,,,,,,,1121561,1319776,,,,61.35,,,,14808.3,,,,,,,,,,29.4
5,Ивановская область,1999-01-01,13,1.09,,,,,,,,,,,,,,,539725,654870,,,,82.41,,,,9765.2,,,,,,,,,,59.5
6,Калужская область,1999-01-01,186,17.38,,,,,,,,,,,,,,,492687,577739,,,,74.33,,,,14891.4,,,,,,,,,,42.3
7,Костромская область,1999-01-01,3,0.39,,,,,,,,,,,,,,,351115,410792,,,,66.34,,,,17450.4,,,,,,,,,,38.3
8,Курская область,1999-01-01,9,0.7,,,,,,,,,,,,,,,588635,693098,,,,60.26,,,,17093.8,,,,,,,,,,36.6
9,Липецкая область,1999-01-01,11,0.89,,,,,,,,,,,,,,,568891,664788,,,,63.9,,,,25079.9,,,,,,,,,,30.7
10,Московская область,1999-01-01,4338,65.45,,,,,,,,,,,,,,,3052760,3575413,,,,79.57,,,,19753.4,,,,,,,,,,27.7
11,Орловская область,1999-01-01,123,13.91,,,,,,,,,,,,,,,405785,478484,,,,62.88,,,,17800.8,,,,,,,,,,34.6
12,Рязанская область,1999-01-01,259,20.32,,,,,,,,,,,,,,,585167,689336,,,,67.87,,,,15691.0,,,,,,,,,,46.9
13,Смоленская область,1999-01-01,20,1.82,,,,,,,,,,,,,,,504525,594864,,,,70.04,,,,18562.0,,,,,,,,,,32.0
14,Тамбовская область,1999-01-01,12,0.97,,,,,,,,,,,,,,,565964,665090,,,,57.17,,,,13514.2,,,,,,,,,,30.7
15,Тверская область,1999-01-01,381,24.68,,,,,,,,,,,,,,,699714,844082,,,,72.42,,,,16527.4,,,,,,,,,,51.7
16,Тульская область,1999-01-01,309,17.72,,,,,,,,,,,,,,,790884,952484,,,,81.25,,,,16300.3,,,,,,,,,,34.2
17,Ярославская область,1999-01-01,37,2.63,,,,,,,,,,,,,,,640725,765386,,,,80.48,,,,23596.7,,,,,,,,,,27.0
18,г. Москва,1999-01-01,5092,51.26,,,,,,,,,,,,,,,4680089,5252843,,,,100.0,,,,70506.5,,,,,,,,,,22.4
19,Республика Карелия,1999-01-01,5,0.68,,,,,,,,,,,,,,,342790,392672,,,,74.03,,,,27099.9,,,,,,,,,,25.4
20,Республика Коми,1999-01-01,11,1.04,,,,,,,,,,,,,,,511491,546382,,,,75.45,,,,41025.0,,,,,,,,,,20.9
21,Архангельская область без АО,1999-01-01,9,0.67,,,,,,,,,,,,,,,641293,707867,,,,,,,,,,,,,,,,,,42.6
22,Ненецкий АО,1999-01-01,0,0.0,,,,,,,,,,,,,,,20285,20889,,,,62.35,,,,,,,,,,,,,,
23,Вологодская область,1999-01-01,7,0.54,,,,,,,,,,,,,,,606115,693496,,,,69.0,,,,34471.0,,,,,,,,,,33.5
24,Калининградская область,1999-01-01,419,43.7,,,,,,,,,,,,,,,460977,497805,,,,77.84,,,,16270.4,,,,,,,,,,30.2
25,Ленинградская область,1999-01-01,93,5.51,,,,,,,,,,,,,,,781748,904968,,,,66.32,,,,23516.4,,,,,,,,,,53.1
26,Мурманская область,1999-01-01,38,4.04,,,,,,,,,,,,,,,462688,478374,,,,92.16,,,,43012.3,,,,,,,,,,21.3
27,Новгородская область,1999-01-01,8,1.11,,,,,,,,,,,,,,,326732,391833,,,,70.04,,,,21772.7,,,,,,,,,,32.7
28,Псковская область,1999-01-01,9,1.13,,,,,,,,,,,,,,,364948,428291,,,,65.14,,,,13947.2,,,,,,,,,,47.0
29,г. Санкт-Петербург,1999-01-01,300,6.33,,,,,,,,,,,,,,,2138115,2603808,,,,100.0,,,,28247.0,,,,,,,,,,33.1
30,Республика Адыгея,1999-01-01,8,1.78,,,,,,,,,,,,,,,208909,240143,,,,52.97,,,,10061.7,,,,,,,,,,43.0
31,Республика Калмыкия,1999-01-01,4,1.3,,,,,,,,,,,,,,,148841,159506,,,,40.77,,,,7104.1,,,,,,,,,,60.3
32,Краснодарский край,1999-01-01,551,10.73,,,,,,,,,,,,,,,2393431,2740018,,,,53.82,,,,19267.7,,,,,,,,,,36.9
33,Астраханская область,1999-01-01,35,3.46,,,,,,,,,,,,,,,479726,532659,,,,68.22,,,,15805.2,,,,,,,,,,36.0
